timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767798655.02,2026-01-07 20:40:55,0,0,0,0.0%,125,NORMAL,0.0,0.0,0.1,False
1767798665.61,2026-01-07 20:41:05,12,12,12,5.8%,125,NORMAL,0.0,0.0,0.1,False
1767798671.63,2026-01-07 20:41:11,12,12,12,7.7%,125,NORMAL,0.0,0.0,0.1,False
1767798677.71,2026-01-07 20:41:17,9,12,12,7.9%,125,NORMAL,0.0,0.0,0.1,False
1767798684.32,2026-01-07 20:41:24,9,12,12,8.1%,125,NORMAL,0.0,0.0,0.1,False
1767798690.54,2026-01-07 20:41:30,8,12,12,8.0%,125,NORMAL,0.0,0.0,0.2,False
1767798697.39,2026-01-07 20:41:37,9,12,13,8.1%,125,NORMAL,0.0,0.0,0.2,False
1767798703.99,2026-01-07 20:41:43,9,12,13,8.2%,125,NORMAL,0.0,0.0,0.2,False
1767798710.42,2026-01-07 20:41:50,9,12,13,8.3%,125,NORMAL,0.0,0.0,0.2,False
1767798716.60,2026-01-07 20:41:56,9,12,13,8.3%,125,NORMAL,0.0,0.0,0.2,False
1767798723.51,2026-01-07 20:42:03,9,12,13,8.3%,125,NORMAL,0.0,0.0,0.2,False
1767798729.98,2026-01-07 20:42:09,10,12,14,8.5%,125,NORMAL,0.0,0.0,0.2,False
1767798736.97,2026-01-07 20:42:16,10,12,14,8.5%,125,NORMAL,0.0,0.0,0.2,False
